paper_id,conference,year,citation,num_modules,num_files,num_root_files,total_lines,contain_docker,contain_data,num_lang,main_language,num_duplicates,has_shell,num_lists,code_blocks,code_elements,contain_project_page,contain_trained_model,dynamic_images,images,tables,has_video,github_links,framework,from_organization,has_license,stars
1,NIPS,2018,11,7,70,3,3529,1,1,2,python,2,1,26,16,80,1,1,7,7,0,1,4,pytorch,organization,1,5410
2,CVPR,2018,84,3,27,11,2190,1,1,1,python,2,0,1,4,2,1,0,0,1,0,0,1,pytorch,personal,1,3700
3,CVPR,2018,136,1,6,7,773,0,1,2,python,3,1,1,13,4,0,1,0,5,0,1,0,pytorch,personal,1,3368
4,ECCV,2018,11,4,12,7,1099,0,1,1,python,5,0,14,2,7,0,1,1,7,0,1,8,tensorflow,personal,1,2395
5,CVPR,2018,17,3,6,6,642,0,1,1,python,11,0,2,2,0,1,1,0,1,0,1,0,tensorflow,personal,0,2310
6,NIPS,2018,31,2,21,9,3127,0,1,2,python,6,1,3,16,14,0,1,0,0,0,0,1,tensorflow,organization,1,2058
7,CVPR,2018,416,4,4,2,628,0,0,2,c/c++,0,0,2,0,0,0,1,0,3,0,0,10,caffe,personal,1,1448
8,ICML,2018,65,4,27,1,4478,0,1,2,python,16,1,2,7,47,0,0,0,1,0,0,0,tensorflow,personal,1,880
9,ECCV,2018,49,6,10,8,1639,1,1,2,python,7,1,0,1,0,0,0,0,9,0,0,2,tensorflow,organization,1,1283
10,CVPR,2018,131,7,54,1,5378,0,1,4,python,9,1,4,12,34,0,1,0,1,0,0,0,caffe2,organization,1,960
11,CVPR,2018,14,4,29,2,3942,0,0,2,python,0,1,1,3,11,0,1,0,15,0,0,0,pytorch,organization,1,841
12,CVPR,2018,52,3,33,13,3759,0,1,1,python,28,0,22,37,0,0,1,0,0,0,1,2,pytorch,personal,1,892
13,CVPR,2018,32,12,500,7,125359,1,1,5,c/c++,91,1,8,8,9,0,1,0,3,0,0,5,caffe,personal,1,830
14,ECCV,2018,9,7,25,4,1311,0,1,2,python,1,1,2,5,6,1,0,1,2,0,0,1,pytorch,personal,1,747
15,CVPR,2018,18,5,124,5,17633,1,1,3,python,15,0,1,16,26,1,1,2,3,0,1,5,caffe2,organization,1,640
16,CVPR,2018,32,3,83,4,26573,0,0,4,python,152,1,7,15,15,0,1,0,0,0,0,5,mxnet,organization,1,620
17,NIPS,2018,40,6,90,13,8092,0,1,4,python,36,1,6,13,0,0,1,0,0,0,0,4,tensorflow,personal,1,598
18,ICML,2018,171,8,79,1,8918,0,0,2,python,22,1,0,1,0,0,0,0,1,0,0,0,Unknown,personal,0,531
19,ECCV,2018,13,3,24,2,2460,0,1,3,python,2,0,3,14,7,0,1,0,0,0,0,1,pytorch,organization,1,724
20,CVPR,2018,26,2,58,1,12492,0,1,2,python,130,1,0,1,2,0,1,1,2,0,0,0,Unknown,organization,1,500
21,ICML,2018,33,4,27,5,1654,0,0,2,python,7,1,1,5,2,1,0,0,6,0,0,0,Unknown,personal,1,500
22,CVPR,2018,23,3,60,2,49385,0,1,4,python,19,1,2,6,0,0,1,0,0,3,0,3,tensorflow,personal,1,484
23,NIPS,2018,3,3,8,8,2328,0,1,1,python,10,0,3,3,1,0,1,0,0,0,0,2,caffe,personal,1,538
24,CVPR,2018,39,1,4,6,874,0,1,1,python,0,0,13,3,12,1,1,0,9,0,1,0,tensorflow,personal,1,585
25,CVPR,2018,31,4,37,2,2612,0,0,2,python,5,1,3,3,0,1,0,5,10,0,0,3,pytorch,personal,1,484
26,CVPR,2018,4,12,455,5,86586,1,1,5,c/c++,1,1,6,4,1,0,1,0,2,0,0,0,caffe,personal,1,567
27,CVPR,2018,13,2,15,2,1762,0,1,2,python,5,1,1,5,15,0,0,0,5,2,0,1,tensorflow,personal,0,474
28,CVPR,2018,24,3,34,6,4303,1,1,2,python,3,1,2,7,2,1,1,0,1,0,0,2,tensorflow,personal,1,480
29,CVPR,2018,22,5,27,8,2524,0,1,3,python,6,0,1,7,36,0,1,0,1,0,0,1,pytorch,organization,1,472
30,ECCV,2018,51,2,7,0,198,0,0,2,matlab,0,1,10,5,0,1,1,0,0,0,1,0,caffe,personal,0,410
31,CVPR,2018,67,6,32,10,1861,1,1,2,python,0,1,13,9,87,1,1,0,1,0,0,3,pytorch,personal,1,435
32,ECCV,2018,4,1,11,4,749,0,1,3,python,0,1,3,3,5,0,1,1,2,0,0,0,pytorch,personal,1,517
33,CVPR,2018,60,8,99,1,12369,0,1,5,python,51,1,2,0,39,1,1,0,1,0,0,0,tensorflow,personal,1,419
35,CVPR,2018,5,3,156,5,53742,1,1,4,python,95,1,8,13,54,1,0,2,11,0,1,5,Unknown,organization,1,375
36,CVPR,2018,10,6,13,6,1804,0,1,1,python,0,0,1,7,14,1,1,0,4,0,0,4,pytorch,personal,1,316
37,CVPR,2018,3,3,65,3,20233,0,0,4,python,12,1,4,10,0,1,0,0,3,0,1,5,Unknown,personal,1,330
38,ICML,2018,10,2,22,13,2683,0,1,1,python,2,0,1,12,10,0,1,0,1,0,0,0,tensorflow,organization,1,185
39,CVPR,2018,32,3,26,9,5587,0,1,1,python,1,0,0,13,31,0,1,0,1,0,0,2,tensorflow,personal,1,352
40,CVPR,2018,19,7,58,6,6514,1,1,4,python,39,1,4,13,21,0,1,0,2,0,0,5,pytorch,personal,1,326
41,ECCV,2018,9,3,10,1,646,0,0,4,python,0,1,2,1,10,0,0,0,1,1,0,0,pytorch,personal,1,375
42,CVPR,2018,9,3,11,1,914,0,0,1,python,0,0,4,1,3,1,0,0,1,0,0,1,pytorch,personal,1,395
43,CVPR,2018,48,2,34,1,2539,0,0,4,python,4,1,0,3,0,1,0,0,3,0,0,1,caffe,organization,1,384
44,CVPR,2018,3,4,80,1,4403,0,0,3,python,4,1,3,18,7,1,1,0,1,0,0,0,pytorch,personal,0,306
45,ICML,2018,9,3,18,0,3493,0,0,2,python,25,0,2,1,0,0,0,0,0,0,0,0,torch,personal,1,280
46,ECCV,2018,0,3,156,8,34991,0,1,4,c/c++,1,1,2,4,0,0,1,0,0,0,0,0,tensorflow,personal,1,319
47,CVPR,2018,10,5,61,1,3589,0,1,2,python,14,1,4,9,18,0,0,1,1,0,0,0,pytorch,organization,1,300
48,CVPR,2018,17,3,21,5,1319,0,1,2,python,9,1,2,5,0,0,1,0,6,0,0,1,pytorch,personal,1,327
49,CVPR,2018,9,4,14,3,1245,0,1,1,python,12,0,2,5,13,0,1,0,3,0,0,1,tensorflow,personal,1,264
51,ICML,2018,15,1,10,9,2427,0,1,1,python,27,0,1,6,3,0,0,0,1,0,0,0,pytorch,personal,1,284
52,CVPR,2018,19,4,12,3,893,0,1,1,python,1,0,9,7,4,1,1,0,2,0,0,2,pytorch,personal,0,275
53,CVPR,2018,31,8,110,2,16548,1,1,5,python,6,1,17,3,85,1,1,0,0,0,0,2,caffe2,personal,1,260
54,CVPR,2018,13,10,489,5,146208,1,1,5,c/c++,5,1,5,0,0,1,1,0,0,0,0,1,caffe,personal,1,257
55,CVPR,2018,7,3,10,4,1085,0,0,2,matlab,5,0,2,4,14,0,0,0,3,0,0,0,tensorflow,personal,0,234
56,ECCV,2018,9,3,22,1,2699,0,1,3,python,6,0,3,1,4,1,1,2,4,0,0,3,tensorflow,personal,0,310
57,NIPS,2018,10,2,23,14,2176,0,1,2,python,8,1,1,4,10,0,1,0,1,0,0,3,pytorch,personal,1,251
58,CVPR,2018,12,4,43,1,12904,0,1,3,python,13,1,4,12,4,0,1,0,0,0,0,0,tensorflow,personal,1,222
59,CVPR,2018,4,2,38,1,4229,0,1,2,matlab,51,0,3,0,0,0,1,0,1,0,1,0,tensorflow,personal,0,224
60,ECCV,2018,2,3,24,9,2681,0,1,2,python,5,1,5,6,11,0,1,0,2,0,0,0,tensorflow,organization,1,343
61,CVPR,2018,11,3,87,8,5495,0,1,3,python,21,1,4,7,29,1,1,0,2,0,0,1,pytorch,personal,1,219
62,CVPR,2018,10,2,22,1,1931,0,1,2,python,15,1,6,11,0,0,1,0,0,0,0,0,pytorch,personal,1,217
63,ICML,2018,6,3,27,16,9175,0,1,2,python,38,0,2,5,32,0,0,0,0,0,0,0,pytorch,personal,1,207
64,CVPR,2018,5,2,33,20,3140,0,1,2,python,2,1,1,10,10,0,0,0,1,0,0,0,Unknown,organization,1,205
65,CVPR,2018,68,5,7,0,787,1,1,1,python,3,0,0,1,0,0,0,4,5,0,0,0,Unknown,personal,0,200
66,CVPR,2018,20,3,13,8,1307,0,1,3,python,1,1,0,0,3,1,0,0,1,0,0,2,pytorch,personal,1,217
67,CVPR,2018,11,6,1071,26,106921,0,1,4,matlab,209,0,11,10,0,0,1,0,1,0,1,2,torch,personal,1,202
68,ECCV,2018,8,4,10,1,1512,0,1,1,python,2,0,4,3,0,1,1,0,1,0,1,1,pytorch,personal,1,239
69,NIPS,2018,3,6,66,10,11624,1,1,3,python,6,1,1,10,6,0,1,0,0,0,0,3,pytorch,organization,1,197
70,CVPR,2018,12,7,34,6,2797,0,1,2,python,7,1,10,52,0,0,1,1,3,0,0,3,pytorch,personal,1,213
71,CVPR,2018,21,4,23,1,2595,1,1,2,python,8,1,6,7,5,0,1,0,0,0,0,3,caffe,organization,1,185
