title,conf,year,citation,original
Video-to-Video Synthesis, NIPS ,2018,11,
Deep Image Prior, CVPR ,2018,84,
StarGAN: Unified Generative Adversarial Networks for Multi-Domain Image-to-Image Translation, CVPR ,2018,136,
Joint 3D Face Reconstruction and Dense Alignment with Position Map Regression Network, ECCV ,2018,11,
Learning to See in the Dark, CVPR ,2018,17,
Glow: Generative Flow with Invertible 1x1 Convolutions, NIPS ,2018,31,
Squeeze-and-Excitation Networks, CVPR ,2018,416,
Efficient Neural Architecture Search via Parameters Sharing, ICML ,2018,65,
Multimodal Unsupervised Image-to-image Translation, ECCV ,2018,49,
Non-Local Neural Networks, CVPR ,2018,131,
Image Generation From Scene Graphs, CVPR ,2018,14,
Can Spatiotemporal 3D CNNs Retrace the History of 2D CNNs and ImageNet?, CVPR ,2018,52,
Single-Shot Refinement Neural Network for Object Detection, CVPR ,2018,32,
GANimation: Anatomically-aware Facial Animation from a Single Image, ECCV ,2018,9,
Detect-and-Track: Efficient Pose Estimation in Videos, CVPR ,2018,18,
Relation Networks for Object Detection, CVPR ,2018,32,
PointCNN, NIPS ,2018,40,
Obfuscated Gradients Give a False Sense of Security: Circumventing Defenses to Adversarial Examples, ICML ,2018,171,
Simple Baselines for Human Pose Estimation and Tracking, ECCV ,2018,13,
Taskonomy: Disentangling Task Transfer Learning, CVPR ,2018,26,
Which Training Methods for GANs do actually Converge?, ICML ,2018,33,
Cascaded Pyramid Network for Multi-Person Pose Estimation, CVPR ,2018,23,
Pelee: A Real-Time Object Detection System on Mobile Devices, NIPS ,2018,3,
Generative Image Inpainting With Contextual Attention, CVPR ,2018,39,
Neural 3D Mesh Renderer, CVPR ,2018,31,
Look at Boundary: A Boundary-Aware Face Alignment Algorithm, CVPR ,2018,4,
Zero-Shot Recognition via Semantic Embeddings and Knowledge Graphs, CVPR ,2018,13,
End-to-End Recovery of Human Shape and Pose, CVPR ,2018,24,
In-Place Activated BatchNorm for Memory-Optimized Training of DNNs, CVPR ,2018,22,
ICNet for Real-Time Semantic Segmentation on High-Resolution Images, ECCV ,2018,51,
The Unreasonable Effectiveness of Deep Features as a Perceptual Metric, CVPR ,2018,67,
Distractor-aware Siamese Networks for Visual Object Tracking, ECCV ,2018,4,
Frustum PointNets for 3D Object Detection From RGB-D Data, CVPR ,2018,60,
Efficient Interactive Annotation of Segmentation Datasets With Polygon-RNN++, CVPR ,2018,10,
Gibson Env: Real-World Perception for Embodied Agents, CVPR ,2018,5,
Transparency by Design: Closing the Gap Between Performance and Interpretability in Visual Reasoning, CVPR ,2018,10,
Soccer on Your Tabletop, CVPR ,2018,3,
Noise2Noise: Learning Image Restoration without Clean Data, ICML ,2018,10,
"GeoNet: Unsupervised Learning of Dense Depth, Optical Flow and Camera Pose", CVPR ,2018,32,
GeoNet: Geometric Neural Network for Joint Depth and Surface Normal Estimation, CVPR ,2018,4,
Neural Baby Talk, CVPR ,2018,19,
Acquisition of Localization Confidence for Accurate Object Detection, ECCV ,2018,9,
The Lovász-Softmax Loss: A Tractable Surrogate for the Optimization of the Intersection-Over-Union Measure in Neural Networks, CVPR ,2018,9,
"PWC-Net: CNNs for Optical Flow Using Pyramid, Warping, and Cost Volume", CVPR ,2018,48,
Fast End-to-End Trainable Guided Filter, CVPR ,2018,3,
Adversarially Regularized Autoencoders, ICML ,2018,9,
License Plate Detection and Recognition in Unconstrained Scenarios, ECCV ,2018,0,
Supervision-by-Registration: An Unsupervised Approach to Improve the Precision of Facial Landmark Detectors, CVPR ,2018,10,
Supervising Unsupervised Learning, NIPS ,2018,2,
Pyramid Stereo Matching Network, CVPR ,2018,17,
Convolutional Neural Networks With Alternately Updated Clique, CVPR ,2018,9,
Deep Photo Enhancer: Unpaired Learning for Image Enhancement From Photographs With GANs, CVPR ,2018,5,
Neural Relational Inference for Interacting Systems, ICML ,2018,15,
Learning to Adapt Structured Output Space for Semantic Segmentation, CVPR ,2018,19,
An intriguing failing of convolutional neural networks and the CoordConv solution, NIPS ,2018,13,
Learning to Segment Every Thing, CVPR ,2018,31,
LiteFlowNet: A Lightweight Convolutional Neural Network for Optical Flow Estimation, CVPR ,2018,13,
End-to-End Learning of Motion Representation for Video Understanding, CVPR ,2018,7,
Pixel2Mesh: Generating 3D Mesh Models from Single RGB Images, ECCV ,2018,9,
Bilinear Attention Networks, NIPS ,2018,10,
Iterative Visual Reasoning Beyond Convolutions, CVPR ,2018,12,
Semi-Parametric Image Synthesis, CVPR ,2018,4,
A Style-Aware Content Loss for Real-time HD Style Transfer, ECCV ,2018,2,
Style Aggregated Network for Facial Landmark Detection, CVPR ,2018,11,
Pose-Robust Face Recognition via Deep Residual Equivariant Mapping, CVPR ,2018,10,
GraphRNN: Generating Realistic Graphs with Deep Auto-regressive Models, ICML ,2018,6,
Referring Relationships, CVPR ,2018,5,
MoCoGAN: Decomposing Motion and Content for Video Generation, CVPR ,2018,68,
Compressed Video Action Recognition, CVPR ,2018,20,
LayoutNet: Reconstructing the 3D Room Layout From a Single RGB Image, CVPR ,2018,11,
ESPNet: Efficient Spatial Pyramid of Dilated Convolutions for Semantic Segmentation, ECCV ,2018,8,
Latent Alignment and Variational Attention, NIPS ,2018,3,
Multi-Content GAN for Few-Shot Font Style Transfer, CVPR ,2018,12,
SPLATNet: Sparse Lattice Networks for Point Cloud Processing, CVPR ,2018,21,
