title,conf,year,repo_name,repo_owner,created_at,stars_count,forks_count,subscribers_count,network_count,language,license,organization
Video-to-Video Synthesis,NIPS,2018,vid2vid,NVIDIA,2018-08-14 23:27:15,5410,590,207,590,Python,Other,NVIDIA
Deep Image Prior,CVPR,2018,deep-image-prior,DmitryUlyanov,2017-11-29 22:33:00,3700,468,167,468,Jupyter Notebook,Other,
StarGAN: Unified Generative Adversarial Networks for Multi-Domain Image-to-Image Translation,CVPR,2018,stargan,yunjey,2017-11-27 01:43:01,3368,573,122,573,Python,MIT License,
Joint 3D Face Reconstruction and Dense Alignment with Position Map Regression Network,ECCV,2018,PRNet,YadiraF,2018-03-20 11:44:06,2395,351,140,351,Python,MIT License,
Learning to See in the Dark,CVPR,2018,Learning-to-See-in-the-Dark,cchen156,2018-04-05 23:31:06,2310,380,129,380,Python,,
Glow: Generative Flow with Invertible 1x1 Convolutions,NIPS,2018,glow,openai,2018-06-19 20:03:00,2058,327,122,327,Python,MIT License,openai
Squeeze-and-Excitation Networks,CVPR,2018,SENet,hujie-frank,2017-08-19 13:14:53,1448,452,73,452,Cuda,Apache License 2.0,
Efficient Neural Architecture Search via Parameters Sharing,ICML,2018,enas,melodyguan,2018-02-23 21:56:49,880,220,69,220,Python,Apache License 2.0,
Multimodal Unsupervised Image-to-image Translation,ECCV,2018,MUNIT,NVlabs,2018-03-30 21:56:14,1283,200,64,200,Python,Other,NVlabs
Non-Local Neural Networks,CVPR,2018,video-nonlocal-net,facebookresearch,2018-01-26 20:31:43,960,177,55,177,Python,Other,facebookresearch
Image Generation From Scene Graphs,CVPR,2018,sg2im,google,2018-06-29 16:32:17,841,85,32,85,Python,Apache License 2.0,google
Can Spatiotemporal 3D CNNs Retrace the History of 2D CNNs and ImageNet?,CVPR,2018,3D-ResNets-PyTorch,kenshohara,2017-09-14 12:14:44,892,231,34,231,Python,MIT License,
Single-Shot Refinement Neural Network for Object Detection,CVPR,2018,RefineDet,sfzhang15,2017-11-18 13:14:06,830,266,53,266,C++,Other,
GANimation: Anatomically-aware Facial Animation from a Single Image,ECCV,2018,GANimation,albertpumarola,2018-07-23 16:39:34,747,137,36,137,Python,GNU General Public License v3.0,
Detect-and-Track: Efficient Pose Estimation in Videos,CVPR,2018,DetectAndTrack,facebookresearch,2018-04-19 19:36:51,640,131,46,131,Python,Apache License 2.0,facebookresearch
Relation Networks for Object Detection,CVPR,2018,Relation-Networks-for-Object-Detection,msracver,2018-06-14 05:59:13,620,114,24,114,Python,MIT License,msracver
PointCNN,NIPS,2018,PointCNN,yangyanli,2017-08-22 22:45:32,598,169,35,169,Python,Other,
Obfuscated Gradients Give a False Sense of Security: Circumventing Defenses to Adversarial Examples,ICML,2018,obfuscated-gradients,anishathalye,2018-01-31 03:13:46,531,91,43,91,Jupyter Notebook,,
Simple Baselines for Human Pose Estimation and Tracking,ECCV,2018,human-pose-estimation.pytorch,Microsoft,2018-08-01 07:35:15,724,126,54,126,Python,MIT License,Microsoft
Taskonomy: Disentangling Task Transfer Learning,CVPR,2018,taskonomy,StanfordVL,2017-12-18 20:08:09,500,89,28,89,Python,MIT License,StanfordVL
